YEAR,ST_CASE,VEH_NO,A_DRDIS,A_DRDRO,A_VRD,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_FIRE_EXP
2019,10001,1,2,2,2,1,2,,2,2,2,2,4,1,3,2009,1
2019,10001,2,2,2,2,6,4,,2,1,1,1,4,2,3,2001,1
2019,10002,1,2,2,2,1,2,,1,1,1,2,4,1,3,2003,1
2019,10002,2,2,2,2,3,4,,2,1,1,2,4,2,3,2007,1
2019,10003,1,2,2,2,1,2,,2,1,1,2,4,1,3,2007,1
2019,10003,2,2,2,2,6,4,,2,1,1,1,4,2,3,2015,1
2019,10003,3,2,2,2,1,2,,2,1,1,2,4,2,3,2016,1
2019,10004,1,2,2,2,6,2,,1,1,1,1,4,2,3,1994,1
2019,10005,1,2,2,1,1,1,,1,1,1,2,4,1,3,2008,1
2019,10006,1,2,2,2,6,5,,2,1,1,2,4,2,3,2019,2
2019,10006,2,2,2,2,6,2,,2,1,1,1,4,2,3,2004,1
2019,10007,1,2,2,1,3,2,,1,1,1,2,4,2,3,2015,1
2019,10008,1,2,2,1,2,1,,1,1,1,2,4,1,3,2001,1
2019,10009,1,2,2,1,3,1,,2,1,1,2,4,2,3,2017,1
2019,10010,1,2,2,2,9,2,,2,3,3,3,4,2,3,9999,1
2019,10011,1,2,2,1,1,2,,2,2,2,2,4,1,3,1997,1
2019,10012,1,2,2,2,2,2,,2,1,1,2,4,2,3,2014,1
2019,10013,1,2,2,2,1,2,,2,1,1,2,4,2,3,2010,1
2019,10014,1,2,2,2,3,2,,2,1,1,2,4,2,3,2004,1
2019,10015,1,2,2,1,2,2,,2,1,1,2,4,2,3,1999,1
2019,10015,2,2,2,2,6,2,,2,1,1,1,4,2,3,2007,1
2019,10016,1,2,2,2,3,5,,2,1,1,2,4,2,3,2016,1
2019,10016,2,2,2,2,2,2,,2,1,1,2,4,2,3,2018,1
2019,10016,3,2,2,2,4,2,,2,1,1,2,4,2,3,2017,1
2019,10017,1,2,2,2,7,2,,2,4,2,2,2,1,3,2003,1
2019,10017,2,2,2,2,3,3,,2,1,1,2,4,2,3,2011,1
2019,10018,1,2,2,2,1,2,,2,1,1,2,4,2,3,2008,1
2019,10019,1,2,2,1,7,1,,2,4,1,1,1,2,3,2014,1
2019,10020,1,2,2,1,2,2,,2,1,1,2,4,2,3,2017,1
2019,10021,1,2,2,2,1,2,,2,1,1,2,4,2,3,1991,1
2019,10021,2,2,2,2,3,4,,2,1,1,2,4,2,3,1994,1
2019,10022,1,2,2,1,1,2,,1,1,1,2,4,1,3,2006,1
2019,10023,1,2,2,2,1,5,,2,1,1,2,4,2,3,2008,1
2019,10023,2,2,2,2,1,2,,2,1,1,2,4,2,3,2014,1
2019,10024,1,2,2,1,3,2,,2,1,1,2,4,1,3,2007,1
2019,10025,1,2,2,2,7,2,,2,4,1,2,1,2,3,2005,1
2019,10025,2,2,2,2,6,4,,2,1,1,1,4,2,3,2015,1
2019,10025,3,2,2,2,2,6,,2,1,1,2,4,2,3,2006,1
2019,10026,1,2,2,1,2,2,,2,1,1,2,4,2,3,1996,1
2019,10027,1,2,2,1,3,5,,1,1,1,2,4,1,3,2004,1
2019,10028,1,2,2,2,2,2,,2,2,2,2,4,2,3,1996,1
2019,10028,2,2,2,2,1,2,,2,1,1,2,4,2,3,2008,1
2019,10028,3,2,2,2,1,5,,2,1,1,2,4,2,3,2013,1
2019,10028,4,2,2,2,4,2,,2,1,1,2,4,2,3,2016,1
2019,10029,1,2,2,1,3,1,,1,1,1,2,4,1,3,1997,1
2019,10030,1,2,2,1,2,2,,2,1,1,2,4,2,3,2000,1
2019,10031,1,2,2,1,1,2,,2,1,1,2,4,2,3,2013,1
2019,10031,2,2,2,2,3,2,,1,2,2,2,4,2,3,2004,1
2019,10032,1,1,2,1,1,2,,2,1,1,2,4,2,3,2008,1
2019,10033,1,2,2,1,1,2,,2,1,1,2,4,2,3,1996,2
2019,10033,2,2,2,2,3,2,,2,1,1,2,4,2,3,2019,1
2019,10034,1,2,2,1,2,4,,2,1,1,2,4,2,3,1989,1
2019,10034,2,2,2,2,6,2,,2,1,1,2,4,2,3,2018,1
2019,10035,1,2,2,1,1,3,,2,2,2,2,4,2,3,2006,1
2019,10036,1,2,2,1,1,2,,1,2,2,2,4,1,3,2006,1
2019,10037,1,2,1,1,1,3,,2,1,1,2,4,2,3,2014,1
2019,10038,1,2,2,1,2,2,,2,1,1,2,4,1,3,2014,1
2019,10039,1,2,2,1,2,2,,2,1,1,2,4,2,3,1993,1
2019,10040,1,2,2,1,2,2,,2,1,1,2,4,2,3,2006,1
2019,10041,1,2,2,1,1,2,,2,1,1,2,4,1,3,2004,1
2019,10042,1,2,2,1,2,2,,2,2,2,2,4,2,3,2004,1
2019,10042,2,2,2,2,1,2,,2,1,1,2,4,2,3,2002,1
2019,10043,1,2,2,1,2,2,,2,1,1,2,4,2,3,2002,1
2019,10043,2,2,2,2,1,2,,2,1,1,2,4,2,3,2002,1
2019,10044,1,2,2,2,2,2,,2,2,2,2,4,2,3,1990,1
2019,10044,2,2,2,2,6,2,,2,1,1,1,4,2,3,2006,1
2019,10045,1,2,2,2,3,2,,2,2,2,2,4,2,3,2003,1
2019,10045,2,2,2,2,1,5,,2,1,1,2,4,2,3,2005,1
2019,10046,1,2,2,2,2,2,,2,1,1,2,4,2,3,2016,1
2019,10047,1,2,2,2,2,2,,2,1,1,2,4,2,3,2005,1
2019,10047,2,2,2,2,1,6,,2,1,1,2,4,2,3,2012,1
2019,10048,1,2,2,1,1,2,,1,2,2,2,4,2,3,2003,1
2019,10049,1,2,2,1,1,4,,2,1,1,2,4,1,3,2013,1
2019,10050,1,2,2,2,1,5,,2,1,1,2,4,2,3,2010,1
2019,10050,2,2,2,2,6,2,,2,1,1,1,4,2,3,2016,1
2019,10051,1,2,2,2,3,2,,2,1,1,2,4,2,3,2004,1
2019,10051,2,2,2,2,9,6,,2,3,3,3,4,2,3,9999,1
2019,10052,1,2,2,2,1,5,,2,1,1,2,4,2,3,2010,1
2019,10052,2,2,2,2,2,2,,2,1,1,2,4,2,3,2009,1
2019,10053,1,1,2,1,1,2,,2,1,1,2,4,1,3,2013,2
2019,10054,1,2,2,2,1,2,,2,1,1,2,4,2,3,2019,1
2019,10055,1,2,2,2,3,3,,2,1,1,2,4,2,3,2018,1
2019,10055,2,2,2,2,6,2,,2,1,1,1,4,2,3,2010,1
2019,10056,1,2,2,2,1,4,,2,1,1,2,4,2,3,2016,1
2019,10056,2,2,2,2,2,2,,2,1,1,1,4,2,3,2018,1
2019,10057,1,2,2,1,2,2,,1,1,1,2,4,2,3,1998,1
2019,10058,1,2,2,1,1,2,,2,2,2,2,4,2,3,2003,1
2019,10059,1,2,2,1,2,2,,1,1,1,2,4,2,3,2014,1
2019,10059,2,2,2,2,1,2,,2,1,1,2,4,2,3,2013,1
2019,10059,3,2,2,2,1,2,,2,1,1,2,4,2,3,1992,1
2019,10060,1,2,2,1,2,2,,1,1,1,2,4,2,3,2009,1
2019,10060,2,2,2,2,1,2,,2,1,1,2,4,2,3,1999,1
2019,10061,1,2,2,1,1,2,,1,1,1,2,4,1,3,1996,1
2019,10062,1,2,2,2,4,2,,2,1,1,2,4,2,3,1993,1
2019,10062,2,2,2,2,6,2,,2,1,1,1,4,2,3,2015,1
2019,10063,1,2,2,1,2,2,,2,1,1,2,4,1,3,1998,1
2019,10064,1,2,2,2,1,2,,2,1,1,2,4,2,3,2012,1
2019,10065,1,2,2,1,1,1,,1,1,1,2,4,1,3,2017,1
2019,10066,1,2,2,2,1,5,,2,2,2,2,4,2,3,1995,1
2019,10066,2,2,2,2,2,2,,2,1,1,2,4,2,3,2002,1
2019,10067,1,2,1,1,1,2,,2,2,2,2,4,2,3,2008,1
2019,10068,1,2,2,2,3,2,,2,1,1,2,4,2,3,2017,1
